"","Соотношение матрица-наполнитель","Плотность, кг/м3","модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Потребление смолы, г/м2"
"0","1.8571428571429","2030","738.73684210526","30","22.267857142857","100","210","70","3000","220"
"1","1.8571428571429","2030","738.73684210526","50","23.75","284.61538461538","210","70","3000","220"
"2","1.8571428571429","2030","738.73684210526","49.9","33","284.61538461538","210","70","3000","220"
"3","1.8571428571429","2030","738.73684210526","129","21.25","300","210","70","3000","220"
"4","2.7713310580205","2030","753","111.86","22.267857142857","284.61538461538","210","70","3000","220"
"5","2.7679180887372","2000","748","111.86","22.267857142857","284.61538461538","210","70","3000","220"
"6","2.5696202531645","1910","807","111.86","22.267857142857","284.61538461538","210","70","3000","220"
"7","2.5614754098361","1900","535","111.86","22.267857142857","284.61538461538","380","75","1800","120"
"8","3.5570175438596","1930","889","129","21.25","300","380","75","1800","120"
"9","3.5323383084577","2100","1421","129","21.25","300","1010","78","2000","300"
"10","2.9196778363195","2160","933","129","21.25","300","1010","78","2000","300"
"11","2.877358490566","1990","1628","129","21.25","300","1010","78","2000","300"
"12","1.5981735159817","1950","827","129","21.25","300","470","73.333333333333","2455.5555555556","220"
"13","2.9196778363195","1980","568","129","21.25","300","470","73.333333333333","2455.5555555556","220"
"14","4.0291262135922","1910","800","129","21.25","300","470","73.333333333333","2455.5555555556","220"
"15","2.9347826086957","2030","302","129","21.25","300","210","70","3000","220"
"16","3.5570175438596","1880","313","129","21.25","300","210","70","3000","220"
"17","4.1935483870968","1950","506","129","21.25","300","380","75","1800","120"
"18","4.8979591836735","1890","540","129","21.25","300","380","75","1800","120"
"19","3.5323383084577","1980","1183","111.86","22.267857142857","284.61538461538","1010","78","2000","300"
"20","2.877358490566","2000","205","111.86","22.267857142857","284.61538461538","1010","78","2000","300"
"21","1.5981735159817","1920","456","111.86","22.267857142857","284.61538461538","470","73.333333333333","2455.5555555556","220"
"22","4.0291262135922","1880","622","111.86","22.267857142857","284.61538461538","470","73.333333333333","2455.5555555556","220"
"23","2.5873476431962","1953.2749263874","1136.596134621","137.62741961242","22.344533571526","234.71688296481","555.89345331522","80.803221760536","2587.3429828906","246.61311653663"
"24","2.4999179278879","1942.5957766833","901.51994673357","146.25220776687","23.081757479804","351.23187396731","864.72548380279","76.178075081199","3705.6725233617","226.22276036457"
"25","2.0464714635779","2037.6318111899","707.57088700974","101.61725133478","23.146392813099","312.30720524263","547.60121864405","73.817066619423","2624.0264071672","178.1985558923"
"26","1.8564761695609","2018.2203315873","836.29438156162","135.40169655464","26.435514595544","327.51037669861","150.9614485003","77.210761575252","2473.1871945674","123.34456143249"
